tag,type,design_barg,set_barg,thickness_mm,inspected,sheet
PLV-109,plug_valve,34.3,,10.3,2026-04-09,complex_05.png
CN-110,conveyor,29.9,,14.2,2026-07-22,complex_05.png
BF-111,butterfly_valve,12.3,,6.0,2026-05-12,complex_05.png
HV-112,gate_valve,14.3,,9.6,2026-08-16,complex_05.png
R-113,reactor,20.6,,13.6,2026-06-05,complex_05.png
FT-114,flow_instrument,37.6,,16.3,2026-01-03,complex_05.png
PSV-115,relief_valve,34.1,33.0,15.4,2026-03-17,complex_05.png
R-116,reactor,34.3,,13.6,2026-01-22,complex_05.png
AV-117,angle_valve,6.4,,17.4,2026-05-09,complex_05.png
PSV-118,relief_valve,26.7,24.7,16.3,2026-03-25,complex_05.png
P-119,pump,21.4,,15.4,2026-04-13,complex_05.png
PLV-120,plug_valve,32.9,,8.0,2026-02-22,complex_05.png
BV-121,ball_valve,36.7,,12.6,2026-05-07,complex_05.png
R-122,reactor,22.8,,8.6,2026-02-24,complex_05.png
BF-123,butterfly_valve,34.5,,14.1,2026-02-18,complex_05.png
BV-124,ball_valve,10.0,,11.0,2026-03-16,complex_05.png
K-125,compressor,22.8,,6.7,2026-08-05,complex_05.png
FT-126,flow_instrument,29.8,,9.0,2026-03-18,complex_05.png
NV-127,needle_valve,26.4,,14.8,2026-03-27,complex_05.png
T-128,tower,16.9,,14.4,2026-08-22,complex_05.png
FT-129,flow_instrument,16.1,,11.6,2026-07-14,complex_05.png
BV-130,ball_valve,40.0,,14.1,2026-03-21,complex_05.png
R-131,reactor,18.3,,13.8,2026-01-20,complex_05.png
BV-132,ball_valve,7.6,,14.8,2026-06-26,complex_05.png
FV-133,control_valve,39.4,,12.1,2026-08-25,complex_05.png
T-134,tower,36.5,,6.4,2026-07-21,complex_05.png
LT-135,level_instrument,10.3,,7.1,2026-06-11,complex_05.png
